house_id,house_location,house_type,fp_seg_num,fp_perimeter_len,seg_numTOunique_lengths,fp_avg_seg_len_3long,fp_avg_seg_len_3short,ratio_3lngTO3hrt,footprint_area,boundingbox_area,bbTOfp_ratio,bb_0_180_axis_len,bb_90_270_axis_len,bb_lngTOshrt_ratio,roof_srf_num,ratio_flat,ratio_0*,ratio_90*,ratio_180*,ratio_270*
75,Moreton_Bay_Mixed,R1,4,49.961258,0.5,13.695943,11.284686,1.213675,142.926091,142.926091,1,16.107201,8.873428,1.815217,2,0,0,0.493143,0,0.506857
76,Moreton_Bay_Mixed,R1,4,48.803855,0.5,13.438743,10.963185,1.225806,135.074644,135.074644,1,15.9143,8.487627,1.875,2,0,0,0.469542,0,0.530458
77,Moreton_Bay_Mixed,R1,4,46.384858,0.5,12.376077,10.816352,1.144201,128.998521,128.998521,1.0,9.256627,13.935802,1.505495,2,0,0.511325,0,0.488675,0
78,Moreton_Bay_Mixed,R1,4,48.223374,0.5,13.227939,10.883748,1.215385,132.979082,132.979082,1,15.572131,8.539556,1.823529,2,0,0,0.465552,0,0.534448
79,Moreton_Bay_Mixed,R1,4,47.605512,0.5,12.715147,11.087609,1.146789,135.682811,135.682811,1,9.46007,14.342686,1.516129,2,0,0.499726,0,0.500274,0
80,Moreton_Bay_Mixed,R1,4,43.998479,0.5,11.69997,10.299269,1.136,116.577218,116.577218,1.0,13.100671,8.898569,1.472222,4,0,0.163825,0.33679,0.159754,0.330738
81,Moreton_Bay_Mixed,R1,4,48.012396,0.5,12.782961,11.223237,1.138973,138.600721,138.600721,1,9.663512,14.342686,1.484211,2,0,0.512476,0,0.487524,0
82,Moreton_Bay_Mixed,R1,4,46.964668,0.5,12.63377,10.848564,1.164557,130.684338,130.684338,1,14.418977,9.063357,1.590909,4,0,0.153976,0.354696,0.150647,0.340682
83,Moreton_Bay_Mixed,R1,4,47.198627,0.5,12.782961,10.816352,1.181818,130.529906,130.529906,1,8.849743,14.749571,1.666667,4,0,0.357716,0.152559,0.334751,0.154975
84,Moreton_Bay_Mixed,R1,4,47.402069,0.5,12.579519,11.121516,1.131098,135.651769,135.651769,1,9.663512,14.037523,1.452632,2,0,0.500041,0,0.499959,0
85,Moreton_Bay_Mixed,R1,8,54.083422,0.75,11.734162,1.654078,7.09408,152.585898,174.063911,1.14076,16.478831,10.56288,1.56007,3,0.066225,0,0.455492,0,0.478283
86,Moreton_Bay_Mixed,R1,8,56.594897,0.75,12.7472,2.313628,5.509615,163.177037,173.777865,1.064965,9.009801,19.287648,2.140741,5,0.192985,0.275773,0.113758,0.297916,0.119568
87,Moreton_Bay_Mixed,R1,6,57.390846,1,13.285335,5.844947,2.272961,162.434862,201.934995,1.243175,16.328072,12.367351,1.320256,3,0.112593,0,0.450435,0,0.436971
88,Moreton_Bay_Mixed,R1,6,47.912654,1,10.750351,5.220534,2.059244,126.838144,142.178901,1.120948,13.117242,10.839085,1.21018,3,0.142183,0,0.420084,0,0.437733
89,Moreton_Bay_Mixed,R1,8,53.985007,1,9.912992,3.47065,2.856235,146.503052,182.034684,1.242532,13.158423,13.83408,1.051348,4,0.183542,0.398918,0,0.41754,0
90,Moreton_Bay_Mixed,R1,10,60.591343,0.9,11.360877,1.950858,5.823529,176.925454,221.598249,1.252495,17.951169,12.344502,1.454183,4,0.244115,0,0.39147,0,0.364416
91,Moreton_Bay_Mixed,R1,6,46.033682,1,12.50844,2.836121,4.410405,106.681119,111.071239,1.041152,16.131461,6.88538,2.342857,5,0,0.108492,0.400343,0.066215,0.424949
92,Moreton_Bay_Mixed,R1,6,45.659662,1,12.426876,2.793011,4.449275,103.535352,107.87083,1.041874,16.150891,6.67894,2.418182,5,0,0.112916,0.394546,0.059923,0.432615
93,Moreton_Bay_Mixed,R2,9,66.550711,0.888889,13.277992,1.875206,7.080817,266.356961,273.274983,1.025973,14.756897,18.518459,1.254902,5,0.316018,0.246754,0.080444,0.270036,0.086749
94,Moreton_Bay_Mixed,R2,8,57.840697,0.75,11.727435,2.801401,4.186275,176.559632,208.483949,1.180813,13.67743,15.242919,1.114458,5,0.139287,0.2965,0.134926,0.286016,0.140647
95,Moreton_Bay_Mixed,R2,10,70.781021,0.9,12.72773,1.910942,6.660449,260.494785,302.097657,1.159707,14.374954,21.015557,1.461957,9,0.151588,0.244671,0.16785,0.249232,0.186659
96,Moreton_Bay_Mixed,R2,8,46.352612,0.75,10.104304,1.617123,6.248323,122.955378,132.234214,1.075465,10.155995,13.020311,1.282032,5,0,0.383788,0.084162,0.29598,0.23607
97,Moreton_Bay_Mixed,R2,12,80.746614,0.833333,12.529647,2.278118,5.5,226.998561,291.118467,1.282468,14.111673,20.629621,1.461883,8,0.114614,0.264298,0.139901,0.284186,0.197001
98,Moreton_Bay_Mixed,R2,6,52.64983,1,11.580431,5.969512,1.939929,145.819525,170.543251,1.16955,14.807765,11.51715,1.285714,6,0,0.189269,0.2975,0.209248,0.303984
99,Moreton_Bay_Mixed,R2,6,54.168575,1,12.023399,6.032793,1.993007,153.103694,182.905114,1.194649,12.846052,14.238235,1.108374,6,0,0.27705,0.208404,0.294929,0.219087
100,Moreton_Bay_Mixed,R2,8,54.548261,1,12.065586,1.516674,7.955295,182.161976,185.848414,1.020237,13.28902,13.985111,1.052381,7,0.161783,0.208811,0.175308,0.264936,0.189162
101,Moreton_Bay_Mixed,R2,6,52.567471,0.833333,11.562646,5.959844,1.940092,150.263228,171.471429,1.14114,14.254189,12.029547,1.184932,6,0,0.20433,0.29324,0.222766,0.279664
102,Moreton_Bay_Mixed,R2,6,53.061836,1,11.69997,5.987309,1.954128,152.469587,174.641797,1.145421,12.111941,14.418977,1.190476,6,0,0.277699,0.21275,0.286731,0.22282
