house_id,house_location,house_type,ridges,fp_seg_num,fp_perimeter_len,seg_numTOunique_lengths,fp_avg_seg_len_3long,fp_avg_seg_len_3short,ratio_3lngTO3hrt,footprint_area,boundingbox_area,bbTOfp_ratio,bb_0_180_axis_len,bb_90_270_axis_len,bb_lngTOshrt_ratio,roof_srf_num,ratio_flat,ratio_0,ratio_90,ratio_180,ratio_270
31,Moreton_Bay_Mixed,R1,1,12,61.48,0.83,10.5,1.56,6.71,164.08,222.24,1.35,19.12,11.63,1.64,4,0.24,0,0.34,0,0.42
32,Moreton_Bay_Mixed,R1,1,10,49.99,0.9,7.57,2.33,3.25,121.8,156.21,1.28,12.48,12.52,1,3,0.16,0,0.44,0,0.4
33,Moreton_Bay_Mixed,R1,1,6,44.09,1,9.93,4.77,2.08,106.71,118.75,1.11,9.36,12.69,1.36,2,0,0.46,0,0.54,0
34,Moreton_Bay_Mixed,R1,1,8,51.93,0.75,10.68,1.97,5.42,146.18,163.46,1.12,15.24,10.72,1.42,3,0.16,0,0.41,0,0.43
35,Moreton_Bay_Mixed,R1,1,6,43.78,1,9.9,4.69,2.11,108.51,115.45,1.06,8.86,13.03,1.47,2,0,0.48,0,0.52,0
36,Moreton_Bay_Mixed,R1,1,9,49.27,0.89,7.74,2.64,2.93,122.04,151.69,1.24,12.49,12.14,1.03,3,0.16,0,0.4,0,0.44
37,Moreton_Bay_Mixed,R1,1,8,77.04,0.75,15.81,4.09,3.87,259.44,292.66,1.13,10.41,28.11,2.7,3,0.07,0.45,0,0.48,0
38,Moreton_Bay_Mixed,R1,1,6,43.11,1,9.75,4.62,2.11,105.72,112.12,1.06,12.79,8.77,1.46,2,0,0,0.43,0,0.57
39,Moreton_Bay_Mixed,R1,1,8,47.07,0.75,9.39,2.62,3.58,117.51,138.48,1.18,11.73,11.8,1.01,3,0.18,0.41,0,0.41,0
40,Moreton_Bay_Mixed,R1,1,8,51.66,0.75,10.82,2.18,4.97,132.32,162.55,1.23,10.85,14.98,1.38,3,0.11,0.46,0,0.43,0
41,Moreton_Bay_Mixed,R1,1,8,65.01,0.75,14.35,3.74,3.84,233,261,1.12,18.03,14.47,1.25,2,0,0,0.51,0,0.49
42,Moreton_Bay_Mixed,R1,1,8,52.73,0.75,10.61,2.57,4.12,147.58,172.81,1.17,12.21,14.16,1.16,5,0.15,0.29,0.12,0.29,0.14
43,Moreton_Bay_Mixed,R1,1,8,66.18,0.75,14.73,3.5,4.21,245.32,271.65,1.11,17.98,15.11,1.19,2,0,0,0.52,0,0.48
